city,lat,long
Abbotsford-Huntingdon, 49.004121, -122.2652403
Aldergrove, 49.0580516, -122.470667
Ambassador Bridge, 42.311972, -83.074303
Blue Water Bridge, 42.993101, -82.411188
Boundary Bay, 49.0351587, -122.9399824
Cornwall, 50.5036299, -4.6524982
Coutts, 49.0023406, -111.9648003
Douglas (Peace Arch), 48.9987592, -122.7412936
Edmundston, 47.3690127, -68.32667409999999
Emerson, 40.976209, -74.0262505
Fort Frances Bridge, 48.6100442, -93.3956053
North Portal, 49.0022384, -102.5489673
Pacific Highway, 42.8949969, -123.2385298
Peace Bridge, 42.90693419999999, -78.905804
Prescott, 34.5400242, -112.4685025
Queenston-Lewiston Bridge, 43.1531986, -79.0458216
Rainbow Bridge, 35.6361597, 139.7739495
Sault Ste. Marie, 46.4952996, -84.3453169
St. Stephen, 33.405202, -79.92515159999999
St. Stephen 3rd Bridge, 45.7082871, -94.26932839999999
Stanstead, 45.0126146, -72.0957682
St-Armand/Philipsburg, 45.03915, -73.07464600000002
St-Bernard-de-Lacolle, 45.086132, -73.412229
Thousand Islands Bridge, 44.3654446, -75.9838599
Windsor and Detroit Tunnel, 42.3158582, -83.0371253
Woodstock Road, 34.0515681, -84.3817888
